Year,Prevalence,Incidence,NumberPositive,NewCasesThisYear,NewCasesThisYearFromOutside,NewCasesThisYearFromAcute,PropHIVPosONART,NAnnual,TotalPopulation,NumberPositiveM,PopulationM,NumberPositiveF,PopulationF,CumulativeNonPopartHIVtests,CumulativePopartHIVtests,CumulativeNonPopartCD4tests,CumulativePopartCD4tests,NHIVTestedThisYear,NOnARTM,NNeedARTM,NOnARTF,NNeedARTF,PropMenCirc,NindInSdPart,NDied_from_HIV,NHIV_pos_dead,N_dead,Prop_riskLow,Prop_riskMed,Prop_riskHigh,Prevalence_riskLow,Prevalence_riskMed,Prevalence_riskHigh,NewCasesThisYear_riskLow,NewCasesThisYear_riskMed,NewCasesThisYear_riskHigh,NDied_from_HIV_riskLow,NDied_from_HIV_riskMed,NDied_from_HIV_riskHigh,NMage13-18,NMage18-23,NMage23-30,NMage30-40,NMage40-50,NMage50-60,NMage60-80,NFage13-18,NFage18-23,NFage23-30,NFage30-40,NFage40-50,NFage50-60,NFage60-80,IncMage13-18,IncMage18-23,IncMage23-30,IncMage30-40,IncMage40-50,IncMage50-60,IncMage60-80,IncFage13-18,IncFage18-23,IncFage23-30,IncFage30-40,IncFage40-50,IncFage50-60,IncFage60-80,NPosMage13-18,NPosMage18-23,NPosMage23-30,NPosMage30-40,NPosMage40-50,NPosMage50-60,NPosMage60-80,NPosFage13-18,NPosFage18-23,NPosFage23-30,NPosFage30-40,NPosFage40-50,NPosFage50-60,NPosFage60-80,
1900,0.000000,0.000000,0,0,0,0,0.000000,0,2182,0,1109,0,1073,0,0,0,0,0,0,0,0,0,0.0631,0,0,0,24,0.5793,0.3350,0.0857,0.0000,0.0000,0.0000,0,0,0,0,0,0,222,173,206,199,145,87,77,202,159,196,205,146,87,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1901,0.000000,0.000000,0,0,0,0,0.000000,0,2300,0,1175,0,1125,0,0,0,0,0,0,0,0,0,0.0604,0,0,0,54,0.5796,0.3326,0.0878,0.0000,0.0000,0.0000,0,0,0,0,0,0,259,182,198,204,159,85,88,238,150,201,214,150,90,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1902,0.000000,0.000000,0,0,0,0,0.000000,0,2442,0,1249,0,1193,0,0,0,0,0,0,0,0,0,0.0608,0,0,0,86,0.5835,0.3301,0.0864,0.0000,0.0000,0.0000,0,0,0,0,0,0,309,187,196,218,156,92,91,275,159,207,221,151,96,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1903,0.000000,0.000000,0,0,0,0,0.000000,0,2565,0,1305,0,1260,0,0,0,0,0,0,0,0,0,0.0644,0,0,0,119,0.5856,0.3279,0.0865,0.0000,0.0000,0.0000,0,0,0,0,0,0,341,194,196,229,161,99,85,310,174,206,228,159,97,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1904,0.000000,0.000000,0,0,0,0,0.000000,0,2695,0,1357,0,1338,0,0,0,0,0,0,0,0,0,0.0626,0,0,0,161,0.5818,0.3276,0.0905,0.0000,0.0000,0.0000,0,0,0,0,0,0,324,250,206,235,157,102,83,320,231,199,236,163,96,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1905,0.000000,0.000000,0,0,0,0,0.000000,0,2823,0,1431,0,1392,0,0,0,0,0,0,0,0,0,0.0601,0,0,0,206,0.5795,0.3291,0.0914,0.0000,0.0000,0.0000,0,0,0,0,0,0,343,287,210,244,161,101,85,325,265,212,236,163,97,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1906,0.000000,0.000000,0,0,0,0,0.000000,0,2962,0,1499,0,1463,0,0,0,0,0,0,0,0,0,0.0594,0,0,0,241,0.5787,0.3271,0.0942,0.0000,0.0000,0.0000,0,0,0,0,0,0,333,343,231,239,165,103,85,332,308,223,227,170,109,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1907,0.000000,0.000000,0,0,0,0,0.000000,0,3083,0,1553,0,1530,0,0,0,0,0,0,0,0,0,0.0560,0,0,0,286,0.5803,0.3257,0.0941,0.0000,0.0000,0.0000,0,0,0,0,0,0,341,368,240,252,157,108,87,333,347,225,242,175,111,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1908,0.000000,0.000000,0,0,0,0,0.000000,0,3216,0,1611,0,1605,0,0,0,0,0,0,0,0,0,0.0583,0,0,0,326,0.5765,0.3284,0.0951,0.0000,0.0000,0.0000,0,0,0,0,0,0,343,405,251,246,169,108,89,332,389,228,263,184,114,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1909,0.000000,0.000000,0,0,0,0,0.000000,0,3327,0,1677,0,1650,0,0,0,0,0,0,0,0,0,0.0596,0,0,0,365,0.5762,0.3285,0.0953,0.0000,0.0000,0.0000,0,0,0,0,0,0,330,407,306,265,168,113,88,321,387,273,276,181,113,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
